switch,mac,ip,vlan,interface
sw1,00:09:BB:3D:D6:58,10.1.10.2,10,FastEthernet0/1
sw1,00:04:A3:3E:5B:69,10.1.5.2,5,FastEthernet0/10
sw1,00:05:B3:7E:9B:60,10.1.5.4,5,FastEthernet0/9
sw1,00:07:BC:3F:A6:50,10.1.10.6,10,FastEthernet0/3
sw1,00:09:BC:3F:A6:50,192.168.100.100,1,FastEthernet0/7
sw2,00:A9:BB:3D:D6:58,10.1.10.20,10,FastEthernet0/7
sw2,00:B4:A3:3E:5B:69,10.1.5.20,5,FastEthernet0/5
sw2,00:C5:B3:7E:9B:60,10.1.5.40,5,FastEthernet0/9
sw2,00:A9:BC:3F:A6:50,10.1.10.60,20,FastEthernet0/2
sw3,00:E9:BC:3F:A6:50,100.1.1.6,3,FastEthernet0/20
sw3,00:E9:22:11:A6:50,100.1.1.7,3,FastEthernet0/21
